,,ASIN,product,brand,name,date,score,title,comment
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),とらやとら,2021年4月14日,3.0,遊び心のあるコーヒー,タイトル通りで、個人的な感覚ではありますが苦みに味が寄りすぎている気がします。もう少しコクというか、風味が豊かに感じられる商品のほうが好きですね。ただ、気分転換といっても色々ありますし、ここ一番というところで苦みを入れて気を締めたい向きにはよく合うと思います。あと、スティックタイプでお手軽に作れますがしっかり溶かそうと思えば攪拌が必要です。だから職場にはカップと合わせてスプーンのご用意を！,,
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),Amazonカスタマー,2021年4月6日,5.0,少量でも満足感のあるような、苦みとコクのある、しっかりした味わいです！,WDというとWestern Digitalしか知りませんでしたがここではWork Designだそうです。コーヒーで仕事をあらゆる面からサポートするとのことで，科学的データに基づいて風味設計されているそうです。その大層ぶりに笑います。でも実際，確かにいいかも。わたしは仕事中向けのものをいただきましたがサッと溶けてすぐに作れるインスタントコーヒースティック。しかも湯量は300ML以上を推奨とのことで，一回作ればかなり大量です。これなら仕事中に手間を掛けずに長く飲めますね。味は科学的に調整されているのかどうか，私の舌では判別できませんでしたが大変美味しかったです。さすがデータに基づくだけのことはある。のだ。うん。,,
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),Amazonカスタマー,2021年4月10日,5.0,個人的には苦みに味が寄りすぎているかなと,インスタントコーヒーは薄くても濃くても、香りがなくお湯のような味わいなので、基本的にはブラックで飲まない私ですが、こちらは美味しいなと思いました。１杯用のドリップコーヒーにも負けない味わいで、なおかつ大きめマグカップいっぱいに作れます。しかも、温かくても冷めてもそれなりにいけるというバランスの良い味わいです。会社に着いて朝イチは今まではティーバッグで緑茶でしたが、最近はこのコーヒーです。昼まで持ちます。,,
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),maruho,2021年4月5日,5.0,科学データに基づく味だそうです,酸味が少なく苦みもほどよいコーヒーでした。３００ｍｌ～３３０ｍｌで作るコーヒーでしたので３００ｍｌで作りました。きっちり計ったところマグカップになみなみと注がれた状態になりましたので、薄くないかなと思いましたが薄すぎたり、また濃すぎたりもせず、飲みやすいコーヒーの味。ブラックコーヒーなので、自分で砂糖やミルクを加減した上でたっぷり飲めるのが良いですね。【ながら】飲み用ということなので、入れてから３０分ほど放置して飲んでも見ました。放置すると若干酸味を感じるようになりましたが、ファミレスなどで放置されているコーヒーほど酸味を感じるわけでもなく、許容範囲内におさまっていました。,,
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),カス　タマー,2021年5月2日,4.0,大きめマグカップ用インスタントコーヒー,普通に美味しいですね。お湯の指定量が300ml~330mlなのでティーカップなどで作るとかなり濃く出来てしまうので注意です。味わいは軽めの酸味に加えて、香ばしさや苦みは深めながら刺々しさなどはなし。飲み易くてブラックでも全然いけるくらいです。味や一度に多めに作れることから、コンセプト通りに作業中用に良さげなコーヒーです。,,
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),ＩＥＥＥ,2021年4月17日,5.0,ごく無難な味のバランスの取れたコーヒー。,お洒落なオフィスに箱ごと置いても生活感の出ないパッケージです。通常のスティックタイプのインスタントコーヒーよりも、いっぱい量を多く設定。お湯の量は300〜330ml使用とのこと。よくあるマグカップには多すぎです。250〜280程度で溶かして飲むと、濃すぎず薄すぎず、香りも良くて焦げた味もせず美味しかったです。,,
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),nyanno,2021年4月17日,5.0,やや苦みの強い濃いコーヒー、仕事中の集中力を高めてくれる,まさに仕事しながら飲むのにぴったりです。大きなマグカップでたっぷり楽しめます。味も良い意味で普通で、仕事への集中力を削がれません。その日の気分によって砂糖やミルクを足しています。1回分のスティックになっているので仕事の合間に手軽に作れるのも良いです。,,
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),h-ike,2021年4月6日,4.0,気軽に飲める,開封した時の香りは甘いような香りでしたお湯を注いだ時の香りは他のインスタントコーヒーよりも香りが良い感じがしました。個人的にインスタントコーヒー＝酸味がキツいと思っていたので好きでは無かったのですがこちらのワークデザインコーヒーはインスタントコーヒーぽさを感じにくい味と香りでした。ですが、冷めてくるとちょっと酸味を感じたので暖かいうちに飲みきろうと感じました。,,
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),ジャスミン,2021年4月7日,3.0,大きなマグカップでたっぷり飲めます,○　あくまで普通のインスタントコーヒー△　方向性が？味はあくまで普通のインスタントコーヒー。驚くべき何かが隠されていたりはしないが、特段の問題もない。ちょっと濃いめに感じるかな？というぐらい。そのせいもあって「ながら」と言われても肩透かし感がある。特徴があまりないので方向性をアピールされても「そうかも」と「そうかな？」が半々で混じる。,,
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),ニッポニアニッポン,2021年3月27日,3.0,香りはインスタントコーヒーぽくない,酸味も苦みもあまり引きずらない、すっきりとした味わいのインスタントコーヒーです。インスタントなので香りはやはり弱いですね。仕事の合間のブレイクタイムに少量で飲むコーヒーというコンセプトなので、一包当たりの容量も少なめ。ながらが3.5グラムなのに対し、あいまは1.3グラム。約半分です。1箱1000円は割高に感じます。賞味期限は2023年1月でした（2021年3月時点）,,
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),昨日しよう,2021年4月2日,5.0,普通のインスタントコーヒー。ながら？,「あいま」の名前の通り、忙しい時間の合間に飲むコーヒーでお湯は100ml～120mlと少なめ、飲みきりサイズです。砂糖やミルクを入れて飲んでも美味しく、またアイスコーヒーとして飲む場合はお湯を50ml～60mlにして氷を入れたら出来上がりです。コーヒーにはクロロゲン酸などのポリフェノールが含まれているので、健康の為にも適量サイズで美味しく飲めるインスタントコーヒーで、安心の日本製です。,,
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),amazonカスタマー,2021年4月20日,4.0,割高,お湯を注ぐと一気に溶けて、コーヒーの芳ばしい香りが広がります。酸味が強めなので、コーヒーを飲んでいるのに、口の中がさっぱりする気がしました。後味にほんのり苦みが残るのですが、それがクセになる感じがして、一口飲むたび余韻を楽しんでいます。,,
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),旭,2021年4月12日,3.0,忙しい時間にちょっと一息出来るコーヒーです。,香り ★☆☆☆☆酸味★★★☆☆苦味★★★☆☆コク ★★☆☆☆酸味と苦みだけで香りはほとんどしないです。普段はイリーのインスタントを飲んでいますが、それと比べるとかなり物足りないというか平板な味です。個包装になっていて持ち運びしやすく手軽に飲める点はいいと思います。ちなみにMCTオイルを加えると、まろやかで奥行きのある味になりました。,,
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),はむ,2021年4月7日,5.0,酸味の効いた、芳ばしい香りの美味しいコーヒー,大きめのマグカップでがっつり飲めるサイズのスティックコーヒーです。1本で300mのお水に溶かせ、少し薄めですが、ちまちま飲むにはちょうど良いです^ ^シャキッとしたいときは水少なめにしても◎味も悪くなく、お手軽なインスタントコーヒーです！,,
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),名無しのおじさん,2021年4月4日,4.0,ちょっと飲むのにちょうど良い,インスタントコーヒーの個包装タイプです。手軽に1杯分が作れるので便利です。味ですが、インスタントコーヒーの臭さと後味の悪さは少ないです。これは意外でした、最近のインスタントは変わりましたね。香りは、他のインスタントコーヒーと変わりません。如何にもインスタントコーヒーという感じは少ないです。インスタントコーヒーとしては、美味しいと思います。,,
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),AmazonCustomer,2021年4月1日,3.0,すごく標準的な味。王道,100-120ccという事で製品名通り「合間」に適した量（またはコーヒー依存じゃない層向け）。アラビカ豆の甘さとまろさが個性。香りは比較的主張せず。苦味が低い分コクが際立つ感じ。酸味を意識するのは飲み始めと飲み終わり。「独特の後味が長く口に残るのでスッキリ感は全く無い」。適量飲める利点はあるので、是非同シリーズの他も試して自分に合うものを（科学的ワークデザインと言った所で相性物）。,,
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),ユングドライアン,2021年4月4日,4.0,美味しいですね,自分的にはコク3　酸味2　苦味3でした。酸味は表示ほど感じられなかった。仕事用としているのは正解だと思います。甘みが無いので目が覚める味。100mlとしているのもダラダラと飲むより、リフレッシュ目的だと理にかなってる。2021年4月に届いて賞味期限は2023年1月と長く保存できるのは嬉しい。,,
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),かえり,2021年4月13日,4.0,後味が独特,◯◯しながらのながら用です。300mlとマグに入れても十分な量で、腰を落ち着けて何かをしたい時に最高です。香りが良くて飲みやすかったです。,,
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),Amazon Customer,2021年3月31日,5.0,目が覚める味。,パッケージがとにかくおしゃれです。中身はちょうど良く一杯分。100ml用とありますが、自分的にはこのくらいの量をもう少し多めのお湯で溶いているのでちょうど良かったです。200とか250くらいのカップや湯呑みで飲むのに適量なのかも。味わいは確かにフルーティ。美味しいです,,
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),こむぎむぎ,2021年4月7日,5.0,私は本を読みながら。,スティック型で、ハサミを入れなくても手で千切れる仕様で、お湯溶けも良い。お湯の調達さえ可能ならば鞄に忍ばせて出先で飲む事も出来ます。味も意外に濃厚でほろ苦くて美味しかったです。,,
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),clover,2021年6月10日,4.0,ちょっと飲むのにちょうど良い,軽い口当たりでサラッと飲むのにちょうどいいです。眠気覚ましに濃いめに入れても、苦くてつらいという感じの味でもないので、そこも好きなポイントです。,,
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),CHRISTIE,2021年4月7日,5.0,意外に濃厚でほろ苦くて美味しい,仕事の合間などにちょっと飲める量が良かったです。香りや味わいは普通な感じでした。パッケージから美味しそう感が漂ってこないのは残念。,,
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),スティックチョロ,2021年4月11日,5.0,まっず！！！！！！,若干酸味があり苦味の少なめなコーヒーです。インスタントとしてはかなり香りが良くて雑味がなくて後味が良いです。,,
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),AmazonCustomer,2021年4月11日,3.0,手軽で美味しい,お湯を注ぐだけの粉末スティックコーヒーでした無糖ブラックで試飲しましたが、私の好みでは無かったです。口に含んだ時は特に特徴の無いコーヒーに感じましたが、後味に苦味と酸味が妙に後を引く感じですっきりしません。,,
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),はいでぃよ,2021年4月6日,5.0,インスタントコーヒーとしてはかなり美味しい,加糖されてないので自在に甘さを調整できます。ブラックでもほどほどでもたっぷりでも、好みの甘さにできるのはいいですね。作れるコービーの量もながら飲みにちょうどいいと思います。,,
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),Ever Dream★,2021年4月6日,4.0,苦味と酸味が後に残る,たっぷりと入れることができて、普通に美味しい。仕事中にはピッタリです。,,
B08WZS83T9,AGF ワークデザインコーヒー インスタントコーヒー あいま 50本 ×2個 インスタント(スティック),AGF(エージーエフ),Star-Gazer(ユメミルヒト),2021年4月4日,4.0,加糖されてないので自在に甘さを調整できます,美味しいです｡下手なドリップコーヒーより全然いいです｡,,
